"ID","article-image","title","read-time","info","author-image","author-name"
"0","assets/images/2nd-line-technician-Rnd7.png","2nd Line Technician","- 4 minute read ","Salary Range £28k-£36k + Bonuses + Pension Hours 40 hours per week, 
                                            Monday - Friday Location Wymondh...","assets/images/rob-george-zFWY.png","Rob George"
"1","assets/images/1st-line-technician-PiSq.png","1st Line Technician",,"Salary Range £23k-£28k + Bonuses +                                       Pension Hours 40 hours per week, Monday                                            - Friday Location Wymondh...","assets/images/rob-george-zFWY.png","Rob George"
"2","assets/images/receptionist-dKHK.png","Temporary Role - Receptionist",,"Salary Range £21,000-£23,000 per annum Hours 40 hours per week,                                           Mon - Fri Location Wymondham, Norfol...","assets/images/asset%2031.jpeg","Bethany Shakespear"
